DEPTH	BHC	GR	LLD	LLM	MLL	NPHI	PEF	RHOB	SP
1026.4	119.083	74.429	1.007	1.014	1.467	-999.25	-999.25	-999.25	91.035
1026.5	116.441	71.676	1.01	1.017	1.409	-999.25	-999.25	-999.25	90.832
1026.6	117.122	71.077	1.011	1.005	1.282	-999.25	-999.25	-999.25	90.77
1026.7	118.238	71.621	1.012	0.992	1.167	-999.25	-999.25	-999.25	90.781
1026.8	119.752	73.16	1.011	0.977	1.063	-999.25	-999.25	-999.25	90.856
1026.9	123.008	75.118	1.004	0.966	1.01	-999.25	-999.25	-999.25	90.957
1027	125.788	76.306	0.995	0.956	0.977	-999.25	-999.25	-999.25	91.027
1027.1	128.068	76.685	0.982	0.946	0.964	-999.25	-999.25	-999.25	91.064
1027.2	127.905	75.547	0.965	0.935	0.972	-999.25	-999.25	-999.25	91.029
1027.3	127.827	74.269	0.948	0.925	0.983	-999.25	-999.25	-999.25	90.988
1027.4	127.975	72.886	0.931	0.916	0.998	-999.25	-999.25	-999.25	90.942
1027.5	129.768	72.067	0.919	0.912	1.012	-999.25	-999.25	-999.25	90.898
1027.6	131.783	71.481	0.909	0.91	1.023	-999.25	-999.25	-999.25	90.859
1027.7	133.907	71.175	0.904	0.911	1.031	-999.25	-999.25	-999.25	90.827
1027.8	133.568	70.358	0.908	0.914	1.032	-999.25	-999.25	-999.25	90.831
1027.9	132.832	69.387	0.916	0.918	1.029	-999.25	-999.25	-999.25	90.865
1028	132.053	68.274	0.932	0.923	1.021	-999.25	-999.25	-999.25	90.945
1028.1	130.42	67.665	0.957	0.932	1.018	-999.25	-999.25	-999.25	91.086
1028.2	128.599	67.55	0.986	0.945	1.022	-999.25	-999.25	-999.25	91.242
1028.3	126.778	68.351	1.021	0.965	1.043	-999.25	-999.25	-999.25	91.398
1028.4	123.779	69.485	1.057	0.994	1.093	-999.25	-999.25	-999.25	91.458
1028.5	120.333	70.454	1.091	1.027	1.163	-999.25	-999.25	-999.25	91.45
1028.6	116.585	70.627	1.115	1.066	1.268	-999.25	-999.25	-999.25	91.322
1028.7	111.916	70.173	1.119	1.1	1.388	-999.25	-999.25	-999.25	91.16
1028.8	106.652	69.603	1.108	1.128	1.499	-999.25	-999.25	-999.25	91.002
1028.9	100.41	69.515	1.072	1.136	1.549	-999.25	-999.25	-999.25	90.915
1029	99.225	70.652	1.027	1.122	1.495	-999.25	-999.25	-999.25	90.937
1029.1	100.713	72.513	0.979	1.093	1.383	-999.25	-999.25	-999.25	91.028
1029.2	103.591	75.142	0.937	1.047	1.224	-999.25	-999.25	-999.25	91.21
1029.3	110.086	77.478	0.905	0.999	1.092	-999.25	-999.25	-999.25	91.385
1029.4	118.838	79.547	0.882	0.952	0.981	-999.25	-999.25	-999.25	91.549
1029.5	128.582	80.792	0.872	0.911	0.924	-999.25	-999.25	-999.25	91.647
1029.6	134.392	81.744	0.864	0.876	0.89	-999.25	-999.25	-999.25	91.714
1029.7	137.265	82.467	0.856	0.844	0.874	-999.25	-999.25	-999.25	91.755
1029.8	138.651	82.903	0.843	0.819	0.875	-999.25	-999.25	-999.25	91.777
1029.9	138.283	83.201	0.825	0.797	0.878	-999.25	-999.25	-999.25	91.794
1030	136.375	83.376	0.804	0.777	0.884	-999.25	-999.25	-999.25	91.805
1030.1	134.866	83.42	0.782	0.764	0.889	-999.25	-999.25	-999.25	91.808
1030.2	134.54	83.249	0.763	0.754	0.895	-999.25	-999.25	-999.25	91.837
1030.3	135.475	82.848	0.748	0.747	0.901	-999.25	-999.25	-999.25	91.896
1030.4	136.725	81.969	0.74	0.744	0.903	-999.25	-999.25	-999.25	92.033
1030.5	137.867	81.099	0.736	0.742	0.902	-999.25	-999.25	-999.25	92.169
1030.6	138.851	80.266	0.735	0.742	0.899	-999.25	-999.25	-999.25	92.3
1030.7	138.205	80.484	0.737	0.742	0.897	-999.25	-999.25	-999.25	92.356
1030.8	136.968	81.199	0.74	0.743	0.896	-999.25	-999.25	-999.25	92.389
1030.9	135.049	82.538	0.742	0.744	0.899	-999.25	-999.25	-999.25	92.395
1031	133.739	83.355	0.744	0.744	0.907	-999.25	-999.25	-999.25	92.445
1031.1	132.508	83.713	0.746	0.745	0.915	-999.25	-999.25	-999.25	92.537
1031.2	131.245	83.338	0.747	0.746	0.923	-999.25	-999.25	-999.25	92.697
1031.3	131.166	82.789	0.749	0.747	0.928	-999.25	-999.25	-999.25	92.887
