DEPTH	GR	LLD	LLS	MLL	NPHI	PEF	RHOB
1317.1	72.4987	1.777	1.7956	1.9719	0.313566	4.2246	2.3936
1317.2	72.9309	1.7685	1.7783	1.9103	0.313529	4.1888	2.3908
1317.3	74.0271	1.7645	1.7661	1.855	0.312579	4.1084	2.3885
1317.4	75.2748	1.7657	1.7608	1.8123	0.311072	3.989	2.3864
1317.5	76.0118	1.7728	1.7635	1.7911	0.308764	3.8378	2.3834
1317.6	75.8556	1.7863	1.7745	1.8007	0.305075	3.6701	2.3788
1317.7	74.8251	1.807	1.7929	1.8475	0.299546	3.5059	2.3724
1317.8	73.3055	1.8352	1.8175	1.9318	0.292289	3.3617	2.365
1317.9	71.6872	1.8708	1.8467	2.0446	0.284147	3.2444	2.3579
1318	70.1787	1.9132	1.8805	2.1666	0.276263	3.1575	2.3526
1318.1	68.7199	1.9611	1.9197	2.2759	0.269418	3.1069	2.3503
1318.2	67.0909	2.0126	1.9657	2.3612	0.263624	3.0963	2.3521
1318.3	65.1308	2.0653	2.0197	2.4309	0.258194	3.1293	2.3588
1318.4	62.9333	2.1164	2.0805	2.5052	0.252134	3.2068	2.3698
1318.5	60.8476	2.163	2.1443	2.6008	0.2448	3.3156	2.3834
1318.6	59.2021	2.2023	2.205	2.717	0.236386	3.4187	2.3965
1318.7	58.0832	2.2322	2.2558	2.8303	0.228073	3.4689	2.4052
1318.8	57.4884	2.2511	2.2919	2.9027	0.221662	3.444	2.4073
1318.9	57.336	2.2587	2.3126	2.9056	0.218799	3.364	2.4029
1319	57.6056	2.2553	2.3206	2.8438	0.220216	3.2796	2.3948
1319.1	58.2451	2.2422	2.3198	2.7509	0.22532	3.2375	2.3867
1319.2	59.1535	2.2215	2.3127	2.6622	0.232412	3.2616	2.3815
1319.3	60.2129	2.1956	2.2994	2.5953	0.239381	3.3376	2.3797
1319.4	61.393	2.1674	2.2792	2.5481	0.244695	3.4196	2.3802
1319.5	62.6802	2.1397	2.2519	2.5069	0.248031	3.4486	2.381
1319.6	63.9274	2.1146	2.2191	2.4589	0.250227	3.3916	2.3809
1319.7	64.8363	2.0931	2.1842	2.4002	0.252514	3.2692	2.3799
1319.8	65.1951	2.0755	2.1509	2.3364	0.255719	3.1406	2.379
1319.9	64.9844	2.0606	2.1223	2.2778	0.259865	3.0509	2.3795
1320	64.3547	2.0471	2.1003	2.235	0.26422	3.0133	2.3821
1320.1	63.6734	2.0335	2.0861	2.2167	0.267637	3.0169	2.3868
1320.2	63.3639	2.0189	2.0789	2.2282	0.269023	3.0487	2.3931
1320.3	63.6335	2.0032	2.0762	2.2694	0.267712	3.1067	2.4
1320.4	64.4489	1.9871	2.0734	2.331	0.263764	3.2037	2.4062
1320.5	65.7109	1.9718	2.0658	2.3919	0.258063	3.3477	2.4101
1320.6	67.1837	1.959	2.0509	2.4228	0.252092	3.5231	2.4101
1320.7	68.556	1.9506	2.0296	2.402	0.247424	3.6898	2.4054
1320.8	69.5631	1.9483	2.0056	2.3315	0.24508	3.7905	2.3967
1320.9	69.9964	1.9536	1.9841	2.2364	0.245182	3.7838	2.3862
1321	69.7117	1.967	1.9695	2.1456	0.247053	3.6836	2.3764
1321.1	69.0689	1.9889	1.9646	2.0777	0.249642	3.5407	2.3697
1321.2	68.6055	2.0186	1.971	2.0389	0.251982	3.4094	2.3673
1321.3	68.5747	2.0555	1.9901	2.03	0.253361	3.3228	2.3698
1321.4	68.8123	2.0984	2.0238	2.0539	0.253309	3.2844	2.377
1321.5	68.8055	2.1459	2.0742	2.1187	0.251447	3.2796	2.3886
1321.6	67.9594	2.196	2.1419	2.2363	0.247293	3.2945	2.4034
1321.7	66.0933	2.2461	2.2243	2.4176	0.240747	3.3288	2.4197
1321.8	63.5247	2.2927	2.3144	2.663	0.232481	3.387	2.4345
1321.9	60.7714	2.332	2.4014	2.9474	0.224178	3.4742	2.4444
1322	58.2342	2.3601	2.4734	3.2106	0.217941	3.5937	2.447
1322.1	56.1029	2.3737	2.5202	3.3746	0.215085	3.7272	2.4417
1322.2	54.3213	2.3702	2.5371	3.3918	0.214514	3.8308	2.43
1322.3	52.8605	2.3485	2.5245	3.2785	0.213702	3.8519	2.414
1322.4	52.0375	2.3091	2.4871	3.0929	0.21424	3.7785	2.3962
1322.5	52.2442	2.2545	2.431	2.8919	0.220296	3.6459	2.3781
1322.6	53.5834	2.1889	2.3628	2.7104	0.237562	3.5095	2.3611
1322.7	55.7532	2.1174	2.2881	2.5627	0.25313	3.418	2.3464
1322.8	58.1756	2.0452	2.2111	2.4495	0.263672	3.3955	2.3351
1322.9	60.3095	1.9766	2.1348	2.362	0.268978	3.4382	2.3284
1323	62.0007	1.9144	2.0612	2.2871	0.270965	3.534	2.3268
1323.1	63.6523	1.8604	1.992	2.2122	0.27791	3.6703	2.3301
1323.2	65.9753	1.8149	1.929	2.131	0.283418	3.8271	2.337
1323.3	69.3188	1.7776	1.8742	2.0462	0.289181	3.985	2.3457
1323.4	73.3979	1.7479	1.8287	1.9662	0.294065	4.1209	2.3546
1323.5	77.4311	1.7245	1.7928	1.9001	0.299463	4.1978	2.3624
1323.6	80.629	1.7063	1.7654	1.853	0.305153	4.1991	2.3687
1323.7	82.6444	1.6917	1.7449	1.8255	0.310723	4.1466	2.3735
1323.8	83.6499	1.6797	1.7292	1.8158	0.31562	4.062	2.3773
1323.9	84.1772	1.6693	1.7169	1.8204	0.319308	3.9565	2.3799
1324	84.5392	1.66	1.7072	1.8356	0.32149	3.847	2.3811
1324.1	84.6455	1.6517	1.6995	1.857	0.322319	3.7558	2.3811
1324.2	84.3113	1.6442	1.6936	1.8801	0.322437	3.6878	2.3806
1324.3	83.5051	1.6376	1.6891	1.9006	0.322674	3.6415	2.3807
1324.4	82.4257	1.6316	1.6853	1.9149	0.323613	3.6091	2.3822
1324.5	81.4889	1.6259	1.6815	1.9219	0.325419	3.5787	2.3857
1324.6	80.9453	1.6202	1.6768	1.9217	0.328101	3.5488	2.3902
1324.7	80.7596	1.6142	1.6706	1.9157	0.331674	3.5315	2.394
1324.8	80.8284	1.6076	1.6629	1.9051	0.335986	3.5431	2.3952
1324.9	81.0524	1.6003	1.6538	1.8904	0.340712	3.5981	2.3929
1325	81.2642	1.5922	1.6438	1.8722	0.345489	3.7001	2.3876
1325.1	81.3797	1.5831	1.633	1.8518	0.349974	3.8259	2.3812
1325.2	81.4865	1.5731	1.6214	1.8308	0.353827	3.9317	2.376
1325.3	81.6082	1.5623	1.6092	1.8109	0.356613	3.9858	2.3736
1325.4	81.6782	1.5507	1.5964	1.7929	0.357768	3.984	2.3742
1325.5	81.7862	1.5387	1.5837	1.7773	0.356967	3.9447	2.3771
1325.6	82.0974	1.5263	1.5719	1.7644	0.354455	3.8972	2.381
1325.7	82.6772	1.5139	1.5614	1.7544	0.351052	3.86	2.3847
1325.8	83.5289	1.5014	1.5516	1.7471	0.347917	3.8365	2.3877
1325.9	84.4293	1.4893	1.5417	1.7412	0.346127	3.8197	2.3898
1326	85.1264	1.4777	1.5308	1.7349	0.346233	3.804	2.3909
1326.1	85.5175	1.467	1.5185	1.7265	0.348041	3.7872	2.3908
1326.2	85.6936	1.4573	1.5054	1.7145	0.350802	3.7773	2.3893
1326.3	85.8988	1.4489	1.4931	1.699	0.353643	3.7846	2.3863
1326.4	86.3116	1.4417	1.4826	1.6814	0.356024	3.8155	2.3821
1326.5	87.0306	1.4357	1.4746	1.6642	0.357805	3.8639	2.3776
1326.6	87.8595	1.4304	1.469	1.651	0.359001	3.9141	2.3737
1326.7	88.3523	1.4256	1.4651	1.6451	0.359549	3.9444	2.3713
1326.8	88.2304	1.4209	1.4621	1.648	0.359253	3.9419	2.3713
1326.9	87.528	1.4161	1.4591	1.6588	0.357911	3.905	2.3737
1327	86.4787	1.4111	1.4553	1.6734	0.355448	3.8423	2.3782
1327.1	85.3953	1.4059	1.4499	1.6853	0.352106	3.7737	2.3839
1327.2	84.5475	1.4006	1.4429	1.6878	0.348464	3.7224	2.3898
1327.3	84.1704	1.3955	1.435	1.6775	0.345243	3.7015	2.3949
1327.4	84.3135	1.3906	1.4271	1.6562	0.342946	3.7071	2.3986
1327.5	84.9296	1.3861	1.4201	1.6297	0.341618	3.7232	2.4008
1327.6	85.8228	1.3821	1.4145	1.6051	0.340909	3.7252	2.4016
1327.7	86.6561	1.3788	1.4107	1.5879	0.340354	3.6921	2.4014
1327.8	87.0778	1.3762	1.4083	1.5807	0.339722	3.6196	2.4005
1327.9	86.8938	1.3743	1.407	1.5834	0.339123	3.5303	2.3998
1328	86.2886	1.3729	1.4061	1.5935	0.338875	3.455	2.3998
1328.1	85.7005	1.3717	1.4052	1.6072	0.339361	3.4204	2.4012
