DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	SP
1527.625	68.7045	9.0999	56.345	13.9349	13.747	16.8569	0.07895	74.8965
1527.75	68.5093	9.0998	50.744	13.9213	13.729	16.7913	0.080355	74.9588
1527.875	68.314	9.0997	45.816	13.9076	13.711	16.7256	0.07647	75.021
1528	68.314	9.0997	45.816	13.894	13.693	16.66	0.07647	75.021
1528.125	68.314	9.0997	45.816	9.8665	10.154	12.1397	0.07647	75.021
1528.25	69.1055	9.0996	43.773	9.808	10.104	12.0975	0.070785	74.6787
1528.375	69.183	9.0996	40.767	9.7495	10.054	12.0553	0.06974	74.8445
1528.5	69.183	9.0996	40.767	9.691	10.004	12.013	0.06974	74.8445
1528.625	69.183	9.0996	40.767	9.6325	9.954	11.9707	0.06974	74.8445
1528.75	69.2605	9.0995	40.647	9.574	9.904	11.9285	0.07185	75.0103
1528.875	69.338	9.0994	41.804	9.5155	9.854	11.8862	0.07388	75.176
1529	69.338	9.0994	41.804	9.457	9.804	11.844	0.07388	75.176
1529.125	69.338	9.0994	41.804	9.9861	9.8354	12.6464	0.07388	75.176
1529.25	70.835	9.0994	41.097	10.0683	9.9128	12.8267	0.07659	74.2357
1529.375	70.839	9.0993	40.893	10.1504	9.9901	13.0071	0.07905	74.3085
1529.5	70.839	9.0993	40.893	10.2325	10.0675	13.1875	0.07905	74.3085
1529.625	70.839	9.0993	40.893	10.3146	10.1449	13.3679	0.07905	74.3085
1529.75	70.843	9.0992	42.591	10.3967	10.2222	13.5483	0.081865	74.3813
1529.875	70.847	9.0991	45.078	10.4789	10.2996	13.7286	0.08493	74.454
1530	70.847	9.0991	45.078	10.561	10.377	13.909	0.08493	74.454
1530.125	70.847	9.0991	45.078	24.9005	17.8474	34.3063	0.08493	74.454
1530.25	60.4868	9.0991	46.847	24.99	17.9578	34.4255	0.084945	74.877
1530.375	60.3795	9.099	43.813	25.0795	18.0681	34.5448	0.07633	74.865
1530.5	60.3795	9.099	43.813	25.169	18.1785	34.664	0.07633	74.865
1530.625	60.3795	9.099	43.813	25.2585	18.2889	34.7832	0.07633	74.865
1530.75	60.2723	9.0995	37.121	25.348	18.3993	34.9025	0.063305	74.853
1530.875	60.165	9.11	33.254	25.4375	18.5096	35.0217	0.051	74.841
1531	60.165	9.11	33.254	25.527	18.62	35.141	0.051	74.841
1531.125	60.165	9.11	33.254	17.5623	16.2864	19.7559	0.051	74.841
1531.25	67.1188	9.149	32.412	17.5415	16.2847	19.9498	0.04154	76.608
1531.375	67.0715	9.188	37.007	17.5208	16.2831	20.1436	0.03811	76.669
1531.5	67.0715	9.188	37.007	17.5	16.2815	20.3375	0.03811	76.669
1531.625	67.0715	9.188	37.007	17.4792	16.2799	20.5314	0.03811	76.669
1531.75	67.0242	9.1985	45.6885	17.4585	16.2782	20.7253	0.04539	76.73
1531.875	66.977	9.1986	51.859	17.4377	16.2766	20.9191	0.06092	76.791
1532	66.977	9.1986	51.859	17.417	16.275	21.113	0.06092	76.791
1532.125	66.977	9.1986	51.859	29.2788	20.2127	27.4408	0.06092	76.791
