DEPTH	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1019.5	8.748	-0.004911	53.0574	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1019.75	8.743	-0.006933	54.7013	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1020	8.7636	-0.003227	59.5183	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1020.25	8.7906	0.001911	65.1283	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1020.5	8.843	0.001733	66	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1020.75	8.9252	0.003739	66.8927	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1021	9.1012	0.019801	72.6077	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1021.25	9.2371	0.034813	78.9297	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1021.5	9.2127	0.04563	87.6805	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1021.75	9.2099	0.041018	90.6939	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1022	9.2214	0.026125	89.8839	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1022.25	9.2377	0.018089	90.7032	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1022.5	9.2572	0.014621	92.6082	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1022.75	9.3381	0.014401	92.6199	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1023	9.46	0.016345	91.37	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1023.25	9.4175	0.015728	90.935	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1023.5	9.375	0.01511	90.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1023.75	9.3406	0.012923	90.0313	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1024	9.359	0.012153	89.4741	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1024.25	9.4565	0.013511	88.7841	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1024.5	9.556	0.019246	85.2609	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1024.75	9.6585	0.031551	77.4864	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1025	9.6386	0.028316	79.4052	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1025.25	9.5881	0.021192	83.7502	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1025.5	9.5436	0.015291	84.1441	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1025.75	9.5006	0.009697	83.5491	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1026	9.523	0.018834	83.995	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1026.25	9.5486	0.029937	84.6411	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1026.5	9.5216	0.034164	85.0461	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1026.75	9.4755	0.038298	85.0572	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1027	9.353	0.042065	83.4948	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1027.25	9.283	0.038072	81.5378	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1027.5	9.248	0.028909	79.3178	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1027.75	9.2104	0.027558	80.7515	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1028	9.1972	0.031412	84.62	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1028.25	9.1841	0.032264	87.995	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1028.5	9.171	0.033115	91.37	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1028.75	9.214	0.029081	90.745	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1029	9.257	0.025047	90.12	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1029.25	9.2914	0.024873	92.8136	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1029.5	9.3402	0.025733	92.9684	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1029.75	9.4107	0.028141	89.3134	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1030	9.4822	0.027694	88.3546	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1030.25	9.5554	0.022959	91.4419	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1030.5	9.6576	0.019482	90.8603	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1030.75	9.7671	0.01632	89.3603	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1031	9.656	0.01296	83.28	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1031.25	9.5191	0.010234	78.3568	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1031.5	9.4996	0.010239	82.6368	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1031.75	9.5231	0.012028	85.1211	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1032	9.7186	0.020941	80.4311	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1032.25	9.8486	0.030758	77.5245	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1032.5	9.7167	0.044185	81.743	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1032.75	9.5935	0.047431	83.562	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1033	9.476	0.043892	83.782	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1033.25	9.3821	0.031153	85.7939	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1033.5	9.3561	0.012283	89	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1033.75	9.33	0.012692	88.5	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1034	9.304	0.013101	88	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1034.25	9.299	0.021239	91.706	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1034.5	9.3132	0.029868	91.8945	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1034.75	9.3562	0.039235	86.8045	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1035	9.3648	0.042842	85.0357	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1035.25	9.3218	0.037803	88.2507	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1035.5	9.2863	0.037995	91.3846	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1035.75	9.2619	0.046037	94.3969	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1036	9.2666	0.04823	90.849	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1036.25	9.2786	0.04896	85.659	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1036.5	9.2615	0.044597	88.84	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1036.75	9.2318	0.040463	92.8158	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1037	9.1808	0.042344	91.5958	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1037.25	9.1244	0.046673	89.9869	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
1037.5	9.0462	0.060787	86.8246	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25	-999.25
