DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1007	-999.25	10.785	0.063577	-999.25	-999.25	-999.25	-999.25	0.387342	3.7068	2.0971	-999.25
1007.125	-999.25	10.785	0.063577	-999.25	-999.25	-999.25	-999.25	0.387342	3.7068	2.0971	-999.25
1007.25	-999.25	10.3975	0.061177	-999.25	-999.25	-999.25	-999.25	0.40471	3.5811	2.101	-999.25
1007.375	-999.25	10.328	0.060043	-999.25	-999.25	-999.25	-999.25	0.410873	3.832	2.101	-999.25
1007.5	-999.25	10.328	0.060043	-999.25	-999.25	-999.25	-999.25	0.410873	3.832	2.0388	-999.25
1007.625	-999.25	10.328	0.060043	-999.25	-999.25	-999.25	-999.25	0.410873	3.832	2.0388	-999.25
1007.75	-999.25	10.338	0.059227	-999.25	-999.25	-999.25	-999.25	0.414235	4.177	1.9602	-999.25
1007.875	-999.25	10.315	0.074666	-999.25	-999.25	-999.25	-999.25	0.434098	4.24	1.9602	-999.25
1008	-999.25	10.315	0.074666	-999.25	-999.25	-999.25	-999.25	0.434098	4.24	1.9561	-999.25
1008.125	-999.25	10.315	0.074666	-999.25	-999.25	-999.25	-999.25	0.434098	4.24	1.9561	-999.25
1008.25	-999.25	10.265	0.088752	-999.25	-999.25	-999.25	-999.25	0.447869	4.1428	1.9856	-999.25
1008.375	-999.25	10.14	0.081171	-999.25	-999.25	-999.25	-999.25	0.420763	3.6868	1.9856	-999.25
1008.5	-999.25	10.14	0.081171	-999.25	-999.25	-999.25	-999.25	0.420763	3.6868	2.0753	-999.25
1008.625	-999.25	10.14	0.081171	-999.25	-999.25	-999.25	-999.25	0.420763	3.6868	2.0753	-999.25
1008.75	-999.25	10.0475	0.070309	-999.25	-999.25	-999.25	-999.25	0.405571	3.2821	2.145	-999.25
1008.875	-999.25	10.085	0.046319	-999.25	-999.25	-999.25	-999.25	0.438049	3.0827	2.145	-999.25
1009	-999.25	10.085	0.046319	-999.25	-999.25	-999.25	-999.25	0.438049	3.0827	2.1347	-999.25
1009.125	-999.25	10.085	0.046319	-999.25	-999.25	-999.25	-999.25	0.438049	3.0827	2.1347	-999.25
1009.25	-999.25	10.0418	0.029425	-999.25	-999.25	-999.25	-999.25	0.441564	3.0171	2.1306	-999.25
1009.375	-999.25	9.9448	0.017262	-999.25	-999.25	-999.25	-999.25	0.425779	3.0406	2.1306	-999.25
1009.5	-999.25	9.9448	0.017262	-999.25	-999.25	-999.25	-999.25	0.425779	3.0406	2.1307	-999.25
1009.625	-999.25	9.9448	0.017262	-999.25	-999.25	-999.25	-999.25	0.425779	3.0406	2.1307	-999.25
1009.75	-999.25	9.8802	0.01411	-999.25	-999.25	-999.25	-999.25	0.423238	3.002	2.13	-999.25
1009.875	-999.25	9.8372	0.016963	-999.25	-999.25	-999.25	-999.25	0.429525	2.922	2.13	-999.25
1010	-999.25	9.8372	0.016963	-999.25	-999.25	-999.25	-999.25	0.429525	2.922	2.1288	-999.25
1010.125	-999.25	9.8372	0.016963	-999.25	-999.25	-999.25	-999.25	0.429525	2.922	2.1288	-999.25
1010.25	-999.25	9.9213	0.01683	-999.25	-999.25	-999.25	-999.25	0.426659	2.8829	2.1447	-999.25
1010.375	-999.25	10.09	0.014708	-999.25	-999.25	-999.25	-999.25	0.417693	2.871	2.1447	-999.25
1010.5	-999.25	10.09	0.014708	-999.25	-999.25	-999.25	-999.25	0.417693	2.871	2.1719	-999.25
1010.625	-999.25	10.09	0.014708	-999.25	-999.25	-999.25	-999.25	0.417693	2.871	2.1719	-999.25
1010.75	-999.25	10.065	0.013748	-999.25	-999.25	-999.25	-999.25	0.424468	2.986	2.1661	-999.25
1010.875	-999.25	10.04	0.012788	-999.25	-999.25	-999.25	-999.25	0.431242	3.101	2.1661	-999.25
1011	-999.25	10.04	0.012788	-999.25	-999.25	-999.25	-999.25	0.431242	3.101	2.1603	-999.25
1011.125	-999.25	10.04	0.012788	-999.25	-999.25	-999.25	-999.25	0.431242	3.101	2.1603	-999.25
1011.25	-999.25	9.8094	0.010468	-999.25	-999.25	-999.25	-999.25	0.426542	3.1291	2.1485	-999.25
1011.375	-999.25	9.668	0.010235	-999.25	-999.25	-999.25	-999.25	0.423089	3.1026	2.1485	-999.25
1011.5	-999.25	9.668	0.010235	-999.25	-999.25	-999.25	-999.25	0.423089	3.1026	2.1486	-999.25
1011.625	-999.25	9.668	0.010235	-999.25	-999.25	-999.25	-999.25	0.423089	3.1026	2.1486	-999.25
1011.75	-999.25	9.6605	0.013136	-999.25	-999.25	-999.25	-999.25	0.421505	2.9941	2.1666	-999.25
1011.875	-999.25	9.6443	0.01752	-999.25	-999.25	-999.25	-999.25	0.427369	2.9362	2.1666	-999.25
1012	-999.25	9.6443	0.01752	-999.25	-999.25	-999.25	-999.25	0.427369	2.9362	2.174	-999.25
1012.125	-999.25	9.6443	0.01752	-999.25	-999.25	-999.25	-999.25	0.427369	2.9362	2.174	-999.25
1012.25	-999.25	9.6149	0.024129	-999.25	-999.25	-999.25	-999.25	0.444411	2.9544	2.1654	-999.25
1012.375	-999.25	9.559	0.026946	-999.25	-999.25	-999.25	-999.25	0.423856	2.9308	2.1654	-999.25
1012.5	-999.25	9.559	0.026946	-999.25	-999.25	-999.25	-999.25	0.423856	2.9308	2.1661	-999.25
1012.625	-999.25	9.559	0.026946	-999.25	-999.25	-999.25	-999.25	0.423856	2.9308	2.1661	-999.25
1012.75	-999.25	9.4965	0.028816	-999.25	-999.25	-999.25	-999.25	0.393904	2.8968	2.1692	-999.25
1012.875	-999.25	9.3932	0.033703	-999.25	-999.25	-999.25	-999.25	0.396671	3.104	2.1692	-999.25
1013	-999.25	9.3932	0.033703	-999.25	-999.25	-999.25	-999.25	0.396671	3.104	2.2046	-999.25
1013.125	-999.25	9.3932	0.033703	-999.25	-999.25	-999.25	-999.25	0.396671	3.104	2.2046	-999.25
1013.25	-999.25	9.2797	0.039344	-999.25	-999.25	-999.25	-999.25	0.407616	3.3715	2.2482	-999.25
1013.375	-999.25	9.187	0.048024	-999.25	-999.25	-999.25	-999.25	0.401902	3.1595	2.2482	-999.25
1013.5	-999.25	9.187	0.048024	-999.25	-999.25	-999.25	-999.25	0.401902	3.1595	2.2434	-999.25
1013.625	-999.25	9.187	0.048024	-999.25	-999.25	-999.25	-999.25	0.401902	3.1595	2.2434	-999.25
1013.75	-999.25	9.1342	0.05322	-999.25	-999.25	-999.25	-999.25	0.392046	2.8856	2.2309	-999.25
1013.875	-999.25	9.2202	0.041433	-999.25	-999.25	-999.25	-999.25	0.382267	2.8436	2.2309	-999.25
1014	-999.25	9.2202	0.041433	-999.25	-999.25	-999.25	-999.25	0.382267	2.8436	2.2363	-999.25
1014.125	-999.25	9.2202	0.041433	-999.25	-999.25	-999.25	-999.25	0.382267	2.8436	2.2363	-999.25
1014.25	-999.25	9.3192	0.028599	-999.25	-999.25	-999.25	-999.25	0.37633	2.7983	2.2379	-999.25
1014.375	-999.25	9.4705	0.011568	-999.25	-999.25	-999.25	-999.25	0.385766	2.7395	2.2379	-999.25
1014.5	-999.25	9.4705	0.011568	-999.25	-999.25	-999.25	-999.25	0.385766	2.7395	2.2247	-999.25
1014.625	-999.25	9.4705	0.011568	-999.25	-999.25	-999.25	-999.25	0.385766	2.7395	2.2247	-999.25
1014.75	-999.25	9.4806	0.007109	-999.25	-999.25	-999.25	-999.25	0.394571	2.7097	2.2189	-999.25
1014.875	-999.25	9.4907	0.011027	-999.25	-999.25	-999.25	-999.25	0.402957	2.6992	2.2189	-999.25
1015	-999.25	9.4907	0.011027	-999.25	-999.25	-999.25	-999.25	0.402957	2.6992	2.218	-999.25
1015.125	-999.25	9.4907	0.011027	-999.25	-999.25	-999.25	-999.25	0.402957	2.6992	2.218	-999.25
1015.25	-999.25	9.5008	0.01363	-999.25	-999.25	-999.25	-999.25	0.389185	2.731	2.2237	-999.25
1015.375	-999.25	9.5108	0.015356	-999.25	-999.25	-999.25	-999.25	0.360646	2.791	2.2237	-999.25
1015.5	-999.25	9.5108	0.015356	-999.25	-999.25	-999.25	-999.25	0.360646	2.791	2.234	-999.25
1015.625	-999.25	9.5108	0.015356	-999.25	-999.25	-999.25	-999.25	0.360646	2.791	2.234	-999.25
1015.75	-999.25	9.5209	0.013277	-999.25	-999.25	-999.25	-999.25	0.377243	2.8395	2.2254	-999.25
1015.875	-999.25	9.531	0.011198	-999.25	-999.25	-999.25	-999.25	0.393839	2.888	2.2254	-999.25
1016	-999.25	9.531	0.011198	-999.25	-999.25	-999.25	-999.25	0.393839	2.888	2.2169	-999.25
