DEPTH	BHC	CLI	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1751.75	57.1975	8.5995	120.0545	107.014	80.047	187.051	0.134995	4.699	2.6945	45.151
1752	57.097	8.568	112.823	114.924	87.862	284.331	0.12869	4.732	2.686	44.023
1752.25	56.752	8.5595	107.301	124.11	87.7795	403.959	0.121805	4.723	2.684	42.4665
1752.5	56.512	8.595	107.07	134.106	86.311	480.681	0.11224	4.699	2.686	40.82
1752.75	56.6795	8.676	105.517	143.244	86.813	510.5475	0.10468	4.6175	2.691	39.587
1753	57.151	8.773	101.362	146.836	87.109	444.188	0.10235	4.359	2.688	38.794
1753.25	57.8435	8.862	97.4935	142.4255	84.9595	366.168	0.105	4.234	2.677	38.463
1753.5	58.393	8.935	96.973	137.395	81.567	332.565	0.10822	4.288	2.667	38.66
1753.75	58.421	8.985	96.069	130.82	76.605	313.075	0.10697	4.264	2.653	39.3295
1754	58.262	9.047	93.562	118.17	69.542	238.133	0.10614	4.247	2.63	40.238
1754.25	58.717	9.1095	94.508	104.04	63.424	141.252	0.11208	4.209	2.6135	41.1255
1754.5	59.572	9.079	97.623	92.796	59.588	93.841	0.12135	4.149	2.62	41.773
1754.75	59.589	8.95	99.6065	86.074	57.4145	87.559	0.12366	4.088	2.6505	42.1685
1755	59.158	8.867	98.79	85.097	56.756	105.93	0.11868	4.036	2.674	42.434
1755.25	59.2595	8.825	96.8715	90.4405	57.3805	132.715	0.11362	4.0215	2.6795	42.2505
1755.5	59.782	8.756	96.467	97.843	58.012	136.2	0.11038	4.009	2.683	41.466
1755.75	60.167	8.7465	96.2705	103.512	60.313	124.361	0.10433	4.063	2.684	40.273
1756	59.822	8.774	90.841	108.293	65.941	140.686	0.09324	4.222	2.684	38.692
1756.25	59.1755	8.7475	82.5775	113.7935	69.9085	204.4325	0.08319	3.869	2.681	36.7445
1756.5	59.095	8.689	79.703	121.667	69.981	235.18	0.08025	3.323	2.674	34.909
1756.75	59.031	8.6365	81.34	129.44	70.532	207.4185	0.08076	3.363	2.669	33.624
1757	58.513	8.605	82.015	131.71	70.892	192.922	0.07942	3.493	2.662	32.976
1757.25	58.217	8.607	82.9325	129.0025	71.166	181.222	0.077175	3.5165	2.6545	32.89
1757.5	58.409	8.602	85.278	127.231	72.629	178.185	0.07867	3.579	2.65	33.031
1757.75	58.625	8.5925	86.875	130.272	74.8925	200.1075	0.080135	3.646	2.6495	33.609
1758	57.927	8.605	86.788	133.417	78.716	243.937	0.08029	3.785	2.66	34.731
1758.25	57.026	8.6455	87.842	130.7135	79.6095	289.1745	0.085475	3.917	2.679	35.9545
1758.5	57.754	8.736	97.662	125.889	75.57	213.263	0.09915	3.988	2.697	37.239
1758.75	59.5685	8.8245	111.232	122.6875	73.4285	141.287	0.115835	4.1835	2.7075	38.556
