DEPTH	BHC	CLI	DCOR	GR	LLD	LLS	MLL	NPHI	PEF	RHOB	SP
1470.625	362.5112	8.827	-0.006965	70.1994	0.7859	0.8745	1.1858	0.295253	3.0306	2.3792	-999.25
1470.75	351.5777	8.822	-0.006572	64.6195	0.8338	0.9557	1.1945	0.310607	3.0987	2.3857	-999.25
1470.875	333.3307	8.826	-0.007366	59.7969	0.9024	1.0833	1.4274	0.299615	3.2992	2.4045	-999.25
1471	327.95	8.828	-0.00711	60.1114	0.9423	1.1625	1.6905	0.282551	3.315	2.4326	-999.25
1471.125	326.8996	8.8298	-0.005253	61.808	0.9711	1.2173	1.8953	0.270306	3.2289	2.4636	-999.25
1471.25	331.4283	8.835	-0.002408	63.9309	0.9856	1.2267	1.8537	0.271986	3.0447	2.4817	-999.25
1471.375	344.9859	8.835	-0.004914	65.3585	0.9825	1.1961	1.6132	0.282927	2.9141	2.4648	-999.25
1471.5	364.7	8.82	-0.009503	62.5133	0.9614	1.099	1.189	0.301148	2.835	2.4186	-999.25
1471.625	369.2636	8.825	-0.007774	59.9892	0.9397	1.0421	1.1296	0.300287	2.8588	2.4021	-999.25
1471.75	372.75	8.855	-0.003749	61.1651	0.905	0.9729	1.083	0.296541	2.8885	2.3836	-999.25
1471.875	374.3247	8.9086	-0.000534	64.0089	0.8714	0.9198	1.0548	0.293399	2.9096	2.3656	-999.25
1472	375.7	8.953	-0.000157	64.2663	0.8515	0.8896	1.026	0.293546	2.919	2.3501	-999.25
1472.125	384.0499	8.9539	0.005687	68.1328	0.8244	0.857	0.9719	0.307004	2.9401	2.3268	-999.25
1472.25	383.3002	8.9582	0.009819	69.5436	0.811	0.8458	0.9438	0.320194	2.9557	2.3301	-999.25
1472.375	379.2515	9.0365	0.02019	70.0634	0.7961	0.8332	0.9384	0.325773	3.025	2.3432	-999.25
1472.5	378.6	9.0775	0.026767	70.3737	0.7948	0.8285	0.9457	0.322704	3.0705	2.347	-999.25
1472.625	379.7006	9.1088	0.034356	70.2545	0.7994	0.8281	0.9483	0.318681	3.0907	2.3408	-999.25
1472.75	379.8242	9.3083	0.042654	69.8142	0.8113	0.8373	0.9394	0.319826	3.0652	2.3114	-999.25
1472.875	376.3879	9.6888	0.034029	72.0392	0.8216	0.8491	0.9382	0.329067	3.0334	2.2831	-999.25
1473	370.85	9.9625	0.032297	69.4168	0.8371	0.8708	0.9337	0.34122	2.989	2.2763	-999.25
1473.125	351.7326	9.9673	0.031651	66.0879	0.8559	0.9044	0.9443	0.348185	3.0178	2.2919	-999.25
1473.25	308.4997	9.2141	0.035542	64.5197	0.8736	0.9622	1.1152	0.322819	3.221	2.3702	-999.25
1473.375	307.2502	8.7749	0.050065	62.5565	0.8776	0.9995	1.4325	0.284438	3.2285	2.4401	-999.25
1473.5	313.5	8.75	0.062455	51.453	0.8852	1.043	2.031	0.226663	3.166	2.5245	-999.25
1473.625	319.8766	8.8813	0.060665	58.0606	0.8904	1.0386	1.851	0.235305	3.0447	2.4955	-999.25
1473.75	348.85	8.96	0.053711	67.1843	0.8971	1.0153	1.521	0.26744	2.984	2.442	-999.25
